Iteration Mean StdDeviation
1 37.9779 1.88366
2 37.4916 1.93571
3 37.171 2.17103
4 37.6692 1.9484
5 37.6393 2.18272
6 37.1531 2.0599
7 37.5337 2.10892
8 37.5234 2.01532
9 37.3963 2.13656
10 37.587 1.93068
11 37.3244 1.87819
12 37.9013 1.93226
13 37.8336 2.29021
14 37.9783 2.40327
15 37.783 2.3183
16 37.6719 2.29686
17 37.5337 2.52046
18 37.7462 2.74099
19 37.4522 2.88822
20 37.3405 2.97069
21 37.3692 2.71453
22 37.2696 2.67883
23 37.3717 2.71046
24 37.5398 2.60404
25 37.3004 2.90134
26 37.5857 3.00041
27 37.3153 3.03826
28 37.3613 3.20446
29 37.481 3.2174
30 37.9399 2.9227
31 37.7775 3.1506
32 37.5496 3.41647
33 37.5587 2.96809
34 37.2682 3.15912
35 37.1104 3.10046
36 37.1691 3.03323
37 36.9862 3.10569
38 37.1934 3.14987
39 37.2117 2.90072
40 37.1963 3.22723
41 37.0331 3.33007
42 36.9201 3.21834
43 36.5682 3.53603
44 36.6093 3.59838
45 36.8859 3.63986
46 37.1587 3.26911
47 37.8004 3.19559
48 37.749 3.24745
49 37.5966 3.35415
50 37.4047 3.26847
51 37.1473 2.95039
52 37.0135 3.21632
53 36.9439 3.16607
54 36.9727 2.91147
55 36.7358 3.21778
56 36.1204 3.76022
57 36.8604 3.23859
58 36.8924 3.4563
59 36.6258 3.15318
60 36.3543 3.54521
61 36.5538 3.50636
62 36.6224 3.5636
63 36.2092 3.4403
64 36.3017 3.34971
65 36.5227 3.36431
66 36.779 3.52321
67 36.7566 3.1996
68 36.1508 3.34858
69 36.5235 3.2352
70 36.8278 3.62688
71 36.9104 3.44326
72 36.7914 3.38221
73 36.196 3.93582
74 36.5985 4.37444
75 36.4617 3.58365
76 36.5109 3.6799
77 36.3136 3.87341
78 35.9315 3.3559
79 36.3366 3.64194
80 36.837 3.87285
81 36.6217 3.71873
82 37.1668 3.81077
83 37.2855 3.53114
84 37.3468 3.77979
85 37.0043 3.97687
86 36.9448 4.09674
87 36.8749 4.01251
88 36.7238 3.82713
89 36.6514 3.74404
90 36.5791 3.75288
91 36.9208 4.06088
92 36.9782 4.30213
93 36.8309 4.20643
94 36.9562 4.05075
95 36.9147 3.93837
96 36.8638 4.05559
97 36.7556 3.53612
98 36.7519 4.14085
99 36.6452 3.9477
100 36.4827 3.7775
101 37.1178 3.58373
102 37.1892 3.91979
103 36.3663 3.8776
104 37.245 4.16427
105 36.8412 3.86455
106 37.2382 3.81156
107 37.0311 3.77267
108 36.7513 3.87602
109 36.6136 3.94245
110 36.4707 3.72791
111 36.4119 3.81928
112 36.45 4.02085
113 36.7996 3.88238
114 36.9583 4.07863
115 36.4773 4.25021
116 36.9988 3.94665
117 36.6871 3.56021
118 36.8102 3.92376
119 37.1698 4.03443
120 36.6216 3.98957
121 36.2754 3.91246
122 36.6532 4.14744
123 36.7874 4.14907
124 36.4135 3.97877
125 36.1079 3.78631
126 36.2957 3.86858
127 36.0805 3.95268
128 36.3945 3.77263
129 36.2349 3.89122
130 36.3864 3.90126
131 35.9159 3.84608
132 35.7446 3.86879
133 35.9248 3.85514
134 35.72 4.30164
135 35.5934 4.50771
136 35.7182 4.18385
137 35.7551 4.18955
138 35.5236 3.95805
139 35.5686 4.11781
140 35.575 3.50192
141 35.8168 3.74852
142 35.7586 3.8035
143 36.7186 3.31499
144 36.6902 3.76204
145 36.656 3.90755
146 36.742 3.83714
147 37.0225 4.0005
148 37.1451 3.70195
149 36.7749 3.76394
150 37.2275 4.18055
151 37.2806 4.19383
152 37.039 4.33666
153 36.7141 4.06888
154 36.9726 3.91206
155 36.8662 4.13702
156 36.5396 4.08477
157 36.1635 3.98589
158 36.1582 3.89972
159 36.1574 3.90947
160 35.9663 4.13954
161 36.0567 4.15439
162 35.2956 4.23816
163 35.7785 3.72154
164 35.9474 3.93144
165 36.5286 3.45941
166 36.1648 4.02153
167 36.1437 4.63863
168 36.5983 4.98466
169 36.4922 4.53099
170 36.3978 3.72583
171 36.4735 3.08049
172 36.2439 3.16512
173 36.3105 3.52877
174 36.6108 3.74234
175 36.4956 3.62231
176 36.5768 3.54591
177 36.984 3.64392
178 37.1685 3.68338
179 36.6056 3.82525
180 36.2481 4.17441
181 35.5584 4.2418
182 35.9006 4.00141
183 35.6514 3.85126
184 35.8951 4.04727
185 35.7263 4.26891
186 36.1716 4.28647
187 36.6133 3.78916
188 36.7967 3.9272
189 36.5915 4.03471
190 36.2194 4.08863
191 36.2573 4.12532
192 36.4727 3.94845
193 36.8815 3.61554
194 37.3246 3.75014
195 37.0527 3.79087
196 36.8034 4.59522
197 36.5831 4.51764
198 36.6436 4.22153
199 37.0705 3.69944
200 36.3918 3.76621
201 36.6479 3.75198
202 36.4257 3.82326
203 36.9359 3.81079
204 37.0226 4.10786
205 36.9378 4.14614
206 36.733 4.05107
207 36.7146 4.18666
208 36.9111 3.77954
209 36.5597 3.8883
210 36.0686 3.89166
211 36.0178 3.78782
212 36.0818 4.15365
213 36.1869 4.11231
214 35.7378 4.20952
215 35.8047 3.90384
216 35.6593 3.72705
217 35.9305 3.36501
218 36.4931 3.3203
219 36.8495 3.77051
220 36.896 4.17046
221 37.0138 3.91434
222 36.4087 4.27804
223 36.4683 4.37326
224 36.3876 3.88793
225 36.3744 3.98422
226 36.7904 4.14097
227 36.9295 3.57788
228 36.8197 3.67968
229 37.0253 3.7572
230 36.9415 3.84308
231 36.6477 3.72547
232 36.3036 3.92851
233 36.0246 4.13061
234 36.04 3.96308
235 36.72 3.79196
236 36.1503 4.21018
237 36.6052 3.75616
238 36.5967 3.71243
239 36.5152 3.79537
240 36.8026 4.01034
241 36.5296 4.11094
242 36.5293 3.8237
243 36.6076 4.02511
244 37.0962 4.39461
245 37.0461 4.1918
246 37.1898 3.87354
247 37.446 4.40208
248 36.9232 4.8535
249 36.6391 4.32412
250 36.5775 4.40646
251 36.455 4.40081
252 36.6041 4.52873
253 36.6905 4.31878
254 36.4138 4.03756
255 36.0538 4.00883
256 36.071 4.25656
257 36.1722 3.94095
258 36.2797 4.12824
259 36.5619 3.98157
260 36.3297 4.19961
261 36.4866 3.91524
262 36.7184 4.20633
263 36.2837 4.26301
264 36.586 4.01997
265 35.9056 4.21423
266 35.9764 4.29522
267 36.5943 3.8569
268 36.6193 4.33721
269 37.285 3.86247
270 36.9594 3.95803
271 37.0782 4.24603
272 37.0745 4.51264
273 36.6474 4.72836
274 36.3604 4.43505
275 36.7899 4.43405
276 36.8552 3.91366
277 36.5728 4.18425
278 36.6323 4.48737
279 36.3525 4.1192
280 36.2015 4.5714
281 36.1088 4.25832
282 36.3344 4.43163
283 36.2619 4.16718
