Iteration Mean StdDeviation
1 16.6223 0.729351
2 16.6573 0.691752
3 16.6709 0.885908
4 16.6664 0.90791
5 16.5775 0.995626
6 16.5563 1.0225
7 16.6366 0.968624
8 16.8 1.05871
9 16.7962 0.985666
10 16.6013 0.967816
11 16.5267 0.875976
12 16.5699 0.887504
13 16.5595 0.898671
14 16.5723 0.913817
15 16.5703 1.05947
16 16.6096 1.1448
17 16.4399 1.22091
18 16.4238 1.10212
19 16.5241 1.05857
20 16.5093 1.01596
21 16.3229 1.12002
22 16.4842 1.04051
23 16.4574 1.04623
24 16.2689 0.959283
25 16.3009 1.08662
26 16.3332 0.939351
27 16.2803 1.15752
28 16.2771 1.16243
29 16.1941 1.07796
30 16.1048 1.21234
31 16.0852 1.21609
32 16.1386 1.2759
33 16.0939 1.22499
34 16.0246 1.20908
35 16.0466 1.16279
36 15.9573 1.14957
37 16.0889 1.30876
38 16.2464 1.25639
39 16.3564 1.1751
40 16.3833 1.22007
41 16.5141 1.21464
42 16.429 1.24565
43 16.4035 1.30326
44 16.3424 1.3653
45 16.1102 1.25257
46 16.0821 1.1896
47 16.0658 1.25984
48 16.0245 1.43783
49 16.0925 1.24356
50 16.2017 1.25634
51 16.2249 1.24356
52 16.0339 1.37157
53 16.0824 1.41513
54 15.9966 1.43947
55 16.0742 1.48567
56 15.9481 1.41611
57 16.0444 1.46531
58 16.0132 1.46197
59 16.0863 1.57846
60 15.9335 1.5148
61 16.1838 1.51439
62 16.3553 1.43136
63 16.2924 1.45981
64 16.347 1.39933
65 16.4069 1.61446
66 16.187 1.60626
67 16.1588 1.63674
68 16.1218 1.58134
69 15.9392 1.59644
70 15.9566 1.56156
71 15.9065 1.527
72 15.7679 1.66853
73 15.755 1.74984
74 15.9074 1.61376
75 15.936 1.67501
76 15.8154 1.67731
77 15.9074 1.5967
78 15.7555 1.62334
79 15.9551 1.45947
80 16.1436 1.47713
81 16.0774 1.57157
82 16.1314 1.48984
83 16.1438 1.65361
84 16.2356 1.56185
85 16.01 1.55473
86 15.8609 1.53888
87 15.8059 1.59999
88 15.7665 1.58735
89 15.823 1.68137
90 15.7811 1.7355
91 15.8038 1.74937
92 16.0086 1.65474
93 16.3009 1.63556
94 16.1022 1.54891
95 16.0674 1.62343
96 16.2185 1.76452
97 16.2086 1.70855
98 16.1807 1.68016
99 16.0586 1.65244
100 16.1275 1.73677
101 16.2425 1.61205
102 15.9777 1.60755
103 15.998 1.77731
104 15.9098 1.79465
105 16.0715 1.92232
106 16.1099 1.82798
107 15.9129 1.76108
108 15.9727 1.89101
109 15.8093 2.10083
110 15.8611 2.05982
111 15.9549 1.87691
112 16.0148 1.99961
113 15.9286 1.98687
114 15.9432 2.26778
115 16.1465 1.88251
116 15.9844 1.92081
117 15.8897 2.03258
118 16.0133 1.85233
119 16.1227 1.79893
120 16.011 1.79508
121 16.045 1.7875
122 16.0578 1.81146
123 15.9705 1.75332
124 15.8743 1.906
125 15.8179 1.83002
126 15.8211 1.74573
127 15.7755 1.72332
128 15.7901 1.68676
129 15.855 1.62294
130 15.7328 1.51931
131 15.7656 1.78912
132 15.8343 1.87804
133 15.8876 1.94405
134 15.7859 1.8518
135 15.8706 1.90878
136 15.9163 1.88298
137 15.9889 1.94569
138 15.8217 1.79405
139 15.7644 1.94524
140 15.7913 1.91072
141 15.9948 1.86215
142 15.9146 2.03614
143 15.93 2.05272
144 16.12 1.92214
145 15.8823 1.96954
146 15.9257 1.77596
147 15.9007 1.87272
148 15.9435 1.87292
149 16.0122 1.76587
150 15.8633 1.87561
151 15.875 1.9228
152 16.0828 1.76483
153 15.8878 1.82048
154 15.9358 1.90683
155 15.8599 1.98109
156 15.7424 1.81533
157 15.7368 1.95718
158 15.8841 1.82303
159 15.9636 1.80101
160 16.0655 1.80968
161 15.9984 1.75626
162 15.7096 1.79035
163 15.6703 1.97585
164 15.7807 2.0318
165 15.5105 2.14765
166 15.55 2.00363
167 15.7002 2.01775
168 15.6647 1.84601
169 15.73 1.84438
170 15.7616 2.07871
171 15.8407 1.92725
172 15.8566 2.1632
173 15.8997 1.9191
174 15.9514 1.94988
175 16.0509 2.2675
176 15.9261 2.06365
177 15.9037 1.96012
178 15.8825 1.91109
179 15.9968 1.98116
180 16.1197 1.7353
181 15.993 2.05748
182 15.8235 1.81025
183 15.7605 1.759
184 15.8124 1.98367
185 15.7089 1.99685
186 15.8204 2.11797
187 15.7554 2.21024
188 15.7848 2.35502
189 15.7576 2.39838
190 15.7142 2.14051
191 15.7709 1.96905
192 15.7721 1.8101
193 15.8483 1.88343
194 15.7746 1.75525
195 15.869 2.01052
196 15.7728 1.99365
197 15.7424 1.92135
198 15.8845 1.98596
199 15.6751 2.08775
200 15.8332 2.08132
201 15.7658 2.0302
202 15.7839 2.15863
203 15.8328 1.98161
204 15.9565 1.8992
205 16.0851 1.96565
206 16.1743 2.04574
207 15.9985 2.14549
208 16.011 2.28724
209 16.0398 2.07878
210 16.0736 1.86959
211 16.0294 1.99726
212 15.8824 1.92962
213 15.7983 2.07239
214 15.9338 1.74249
215 15.8769 1.81991
216 15.8579 1.93447
217 15.8373 1.95645
218 15.8446 1.78208
219 15.623 1.9847
220 15.509 2.18235
221 15.5384 2.15593
222 15.8194 1.71277
223 15.8246 1.68625
224 15.8343 1.8954
225 15.9695 2.02582
226 16.0562 1.94549
227 15.9478 1.88141
228 15.9183 1.83537
229 15.9497 1.99787
230 15.9585 2.21789
231 15.9425 2.35376
232 15.8677 2.45584
233 15.9212 2.23672
234 15.8378 2.31377
235 15.8694 2.11246
236 15.8094 2.00896
237 15.9431 1.83687
238 15.9976 1.84817
239 15.9734 1.87638
240 15.7733 2.13849
241 15.7791 2.10189
242 15.8505 2.15598
243 15.8014 1.90522
244 15.8501 1.95532
245 15.9402 1.89701
246 15.7851 1.9741
247 15.8381 1.84885
248 16.0366 1.99048
249 16.1677 2.17338
250 16.0968 1.99163
251 15.9097 1.95213
252 15.8957 2.01774
253 15.8948 2.26392
254 15.984 1.98378
255 15.9263 2.09639
256 16.0029 2.19534
257 16.0547 2.18143
258 15.9721 2.27227
259 15.9406 2.13819
260 15.8636 2.14781
261 15.7833 2.03224
262 15.7937 2.04179
263 15.7917 1.84198
