#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             1  1.238625e+00  1.238625e+00  0.000000e+00
             2  1.224590e+00  1.231608e+00  4.961990e-03
             3  1.219929e+00  1.227715e+00  4.587545e-03
             4  1.216639e+00  1.224946e+00  4.193877e-03
             5  1.222207e+00  1.224398e+00  3.390680e-03
             6  1.229153e+00  1.225191e+00  2.916715e-03
             7  1.221277e+00  1.224632e+00  2.553074e-03
             8  1.248403e+00  1.227603e+00  3.565970e-03
             9  1.238005e+00  1.228759e+00  3.351828e-03
            10  1.248111e+00  1.230694e+00  3.531405e-03
            11  1.250977e+00  1.232538e+00  3.660237e-03
            12  1.234881e+00  1.232733e+00  3.360422e-03
            13  1.245538e+00  1.233718e+00  3.243067e-03
            14  1.227210e+00  1.233253e+00  3.044557e-03
            15  1.230578e+00  1.233075e+00  2.846806e-03
            16  1.218393e+00  1.232157e+00  2.812891e-03
            17  1.213943e+00  1.231086e+00  2.844171e-03
            18  1.227135e+00  1.230866e+00  2.694618e-03
            19  1.227401e+00  1.230684e+00  2.558962e-03
            20  1.226429e+00  1.230471e+00  2.439842e-03
            21  1.213114e+00  1.229645e+00  2.459677e-03
            22  1.219343e+00  1.229176e+00  2.392032e-03
            23  1.233040e+00  1.229344e+00  2.293921e-03
            24  1.218724e+00  1.228902e+00  2.240615e-03
            25  1.227760e+00  1.228856e+00  2.151456e-03
            26  1.230020e+00  1.228901e+00  2.069173e-03
            27  1.221307e+00  1.228620e+00  2.011564e-03
            28  1.218061e+00  1.228243e+00  1.974754e-03
            29  1.206681e+00  1.227499e+00  2.041837e-03
            30  1.218367e+00  1.227195e+00  1.996340e-03
            31  1.220078e+00  1.226965e+00  1.945096e-03
            32  1.242933e+00  1.227464e+00  1.947268e-03
            33  1.255259e+00  1.228306e+00  2.062384e-03
            34  1.274005e+00  1.229650e+00  2.400064e-03
            35  1.271161e+00  1.230836e+00  2.608118e-03
            36  1.265838e+00  1.231809e+00  2.710841e-03
            37  1.281320e+00  1.233147e+00  2.949410e-03
            38  1.279421e+00  1.234365e+00  3.113046e-03
            39  1.287504e+00  1.235727e+00  3.318037e-03
            40  1.281127e+00  1.236862e+00  3.423713e-03
            41  1.261937e+00  1.237474e+00  3.394393e-03
            42  1.238551e+00  1.237499e+00  3.313671e-03
            43  1.218011e+00  1.237046e+00  3.267455e-03
            44  1.209848e+00  1.236428e+00  3.251140e-03
            45  1.212019e+00  1.235886e+00  3.223823e-03
            46  1.216677e+00  1.235468e+00  3.180668e-03
            47  1.219635e+00  1.235131e+00  3.130784e-03
            48  1.203394e+00  1.234470e+00  3.134601e-03
            49  1.202411e+00  1.233816e+00  3.138168e-03
            50  1.200810e+00  1.233156e+00  3.144064e-03
            51  1.209931e+00  1.232700e+00  3.115221e-03
            52  1.199404e+00  1.232060e+00  3.120424e-03
            53  1.225441e+00  1.231935e+00  3.064046e-03
            54  1.201691e+00  1.231375e+00  3.058064e-03
            55  1.202383e+00  1.230848e+00  3.047557e-03
            56  1.207869e+00  1.230437e+00  3.020633e-03
            57  1.213116e+00  1.230134e+00  2.982887e-03
            58  1.225239e+00  1.230049e+00  2.932651e-03
            59  1.236608e+00  1.230160e+00  2.885052e-03
            60  1.213894e+00  1.229889e+00  2.849676e-03
            61  1.201933e+00  1.229431e+00  2.839573e-03
            62  1.209427e+00  1.229108e+00  2.812044e-03
            63  1.214903e+00  1.228883e+00  2.776434e-03
            64  1.226336e+00  1.228843e+00  2.733338e-03
            65  1.206973e+00  1.228507e+00  2.711916e-03
            66  1.196286e+00  1.228018e+00  2.714411e-03
            67  1.187031e+00  1.227407e+00  2.741967e-03
            68  1.193527e+00  1.226908e+00  2.746535e-03
            69  1.194078e+00  1.226433e+00  2.747635e-03
            70  1.214293e+00  1.226259e+00  2.713851e-03
            71  1.250164e+00  1.226596e+00  2.696431e-03
            72  1.259730e+00  1.227056e+00  2.697965e-03
            73  1.273557e+00  1.227693e+00  2.735172e-03
            74  1.259860e+00  1.228128e+00  2.732532e-03
            75  1.243037e+00  1.228327e+00  2.703320e-03
            76  1.247790e+00  1.228583e+00  2.679853e-03
            77  1.250016e+00  1.228861e+00  2.659467e-03
            78  1.235205e+00  1.228942e+00  2.626614e-03
            79  1.235945e+00  1.229031e+00  2.594861e-03
            80  1.226366e+00  1.228998e+00  2.562639e-03
            81  1.221766e+00  1.228908e+00  2.532556e-03
            82  1.251484e+00  1.229184e+00  2.516592e-03
            83  1.277760e+00  1.229769e+00  2.553418e-03
            84  1.280909e+00  1.230378e+00  2.594586e-03
            85  1.282285e+00  1.230988e+00  2.634947e-03
            86  1.274325e+00  1.231492e+00  2.652056e-03
            87  1.263877e+00  1.231865e+00  2.647568e-03
            88  1.282537e+00  1.232440e+00  2.679368e-03
            89  1.274925e+00  1.232918e+00  2.691449e-03
            90  1.300205e+00  1.233665e+00  2.763433e-03
            91  1.261142e+00  1.233967e+00  2.749512e-03
            92  1.263769e+00  1.234291e+00  2.738642e-03
            93  1.237520e+00  1.234326e+00  2.709414e-03
            94  1.246397e+00  1.234454e+00  2.683632e-03
            95  1.251676e+00  1.234636e+00  2.661499e-03
            96  1.234697e+00  1.234636e+00  2.633775e-03
            97  1.210925e+00  1.234392e+00  2.617942e-03
            98  1.214435e+00  1.234188e+00  2.599137e-03
            99  1.205441e+00  1.233898e+00  2.589053e-03
           100  1.222421e+00  1.233783e+00  2.565705e-03
