#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
             1  1.471052e+00  1.471052e+00  0.000000e+00
             2  1.471274e+00  1.471163e+00  7.834792e-05
             3  1.471200e+00  1.471175e+00  5.317211e-05
             4  1.471108e+00  1.471158e+00  4.243225e-05
             5  1.471092e+00  1.471145e+00  3.594240e-05
             6  1.471121e+00  1.471141e+00  3.018424e-05
             7  1.471109e+00  1.471137e+00  2.621143e-05
             8  1.470849e+00  1.471101e+00  4.069657e-05
             9  1.471030e+00  1.471093e+00  3.691721e-05
            10  1.471072e+00  1.471091e+00  3.328721e-05
            11  1.471122e+00  1.471094e+00  3.038456e-05
            12  1.470911e+00  1.471078e+00  3.142949e-05
            13  1.471187e+00  1.471087e+00  3.009579e-05
            14  1.470989e+00  1.471080e+00  2.874089e-05
            15  1.471130e+00  1.471083e+00  2.702124e-05
            16  1.471182e+00  1.471089e+00  2.602957e-05
            17  1.470992e+00  1.471084e+00  2.512620e-05
            18  1.471123e+00  1.471086e+00  2.382464e-05
            19  1.471133e+00  1.471088e+00  2.270212e-05
            20  1.471118e+00  1.471090e+00  2.161425e-05
            21  1.471172e+00  1.471094e+00  2.093638e-05
            22  1.471092e+00  1.471094e+00  1.998482e-05
            23  1.470947e+00  1.471087e+00  2.010427e-05
            24  1.471075e+00  1.471087e+00  1.927313e-05
            25  1.471099e+00  1.471087e+00  1.850856e-05
            26  1.471116e+00  1.471088e+00  1.782930e-05
            27  1.471088e+00  1.471088e+00  1.716897e-05
            28  1.471249e+00  1.471094e+00  1.749426e-05
            29  1.470926e+00  1.471088e+00  1.782252e-05
            30  1.471109e+00  1.471089e+00  1.724164e-05
            31  1.470880e+00  1.471082e+00  1.795403e-05
            32  1.471141e+00  1.471084e+00  1.748606e-05
            33  1.470919e+00  1.471079e+00  1.765817e-05
            34  1.471112e+00  1.471080e+00  1.716559e-05
            35  1.471041e+00  1.471079e+00  1.671121e-05
            36  1.471226e+00  1.471083e+00  1.673806e-05
            37  1.471070e+00  1.471083e+00  1.628938e-05
            38  1.470958e+00  1.471079e+00  1.618903e-05
            39  1.471183e+00  1.471082e+00  1.598928e-05
            40  1.471078e+00  1.471082e+00  1.558980e-05
            41  1.471308e+00  1.471087e+00  1.615963e-05
            42  1.471208e+00  1.471090e+00  1.602718e-05
            43  1.471221e+00  1.471093e+00  1.593868e-05
            44  1.471019e+00  1.471092e+00  1.566504e-05
            45  1.471026e+00  1.471090e+00  1.538361e-05
            46  1.470924e+00  1.471087e+00  1.546837e-05
            47  1.470929e+00  1.471083e+00  1.549971e-05
            48  1.471169e+00  1.471085e+00  1.527961e-05
            49  1.470917e+00  1.471082e+00  1.534936e-05
            50  1.471097e+00  1.471082e+00  1.504539e-05
            51  1.471055e+00  1.471081e+00  1.475952e-05
            52  1.471147e+00  1.471083e+00  1.452891e-05
            53  1.471089e+00  1.471083e+00  1.425534e-05
            54  1.471074e+00  1.471083e+00  1.399236e-05
            55  1.471119e+00  1.471083e+00  1.375396e-05
            56  1.471135e+00  1.471084e+00  1.353922e-05
            57  1.471018e+00  1.471083e+00  1.335135e-05
            58  1.471378e+00  1.471088e+00  1.405829e-05
            59  1.471011e+00  1.471087e+00  1.388093e-05
            60  1.471244e+00  1.471089e+00  1.389422e-05
            61  1.471276e+00  1.471092e+00  1.399858e-05
            62  1.471094e+00  1.471092e+00  1.377281e-05
            63  1.471059e+00  1.471092e+00  1.356419e-05
            64  1.471120e+00  1.471092e+00  1.335935e-05
            65  1.471211e+00  1.471094e+00  1.327879e-05
            66  1.471184e+00  1.471096e+00  1.314725e-05
            67  1.471077e+00  1.471095e+00  1.295381e-05
            68  1.471069e+00  1.471095e+00  1.276894e-05
            69  1.471028e+00  1.471094e+00  1.262060e-05
            70  1.470939e+00  1.471092e+00  1.263246e-05
            71  1.471206e+00  1.471093e+00  1.255603e-05
            72  1.470821e+00  1.471090e+00  1.293743e-05
            73  1.471291e+00  1.471092e+00  1.305010e-05
            74  1.471227e+00  1.471094e+00  1.299923e-05
            75  1.471263e+00  1.471096e+00  1.301944e-05
            76  1.471161e+00  1.471097e+00  1.287558e-05
            77  1.471137e+00  1.471098e+00  1.271869e-05
            78  1.471378e+00  1.471101e+00  1.305234e-05
            79  1.471326e+00  1.471104e+00  1.319212e-05
            80  1.471113e+00  1.471104e+00  1.302768e-05
            81  1.471189e+00  1.471105e+00  1.290876e-05
            82  1.471108e+00  1.471105e+00  1.275137e-05
            83  1.471043e+00  1.471105e+00  1.261998e-05
            84  1.471177e+00  1.471105e+00  1.249954e-05
            85  1.471231e+00  1.471107e+00  1.243926e-05
            86  1.471216e+00  1.471108e+00  1.235918e-05
            87  1.471161e+00  1.471109e+00  1.223222e-05
            88  1.471133e+00  1.471109e+00  1.209628e-05
            89  1.471312e+00  1.471111e+00  1.217260e-05
            90  1.470884e+00  1.471109e+00  1.229617e-05
            91  1.471278e+00  1.471111e+00  1.230114e-05
            92  1.471196e+00  1.471112e+00  1.220263e-05
            93  1.471063e+00  1.471111e+00  1.208269e-05
            94  1.471332e+00  1.471113e+00  1.218011e-05
            95  1.470924e+00  1.471111e+00  1.221461e-05
            96  1.471221e+00  1.471113e+00  1.214054e-05
            97  1.471381e+00  1.471115e+00  1.232612e-05
            98  1.471117e+00  1.471115e+00  1.220035e-05
            99  1.470854e+00  1.471113e+00  1.235936e-05
           100  1.471026e+00  1.471112e+00  1.226584e-05
